tran_no,line_no,tran_date,fb_id,tran_currency,supp_code,Supplier Name,comments,expense_category,expense,usage,cost_center,Cost Center Desc,analysis_code,Analysis Desc,subanalysis_code,Sub Analsysi Desc,remarks,destn_fbid,destn_usage,UniqueId,,,
AEXP-000012-2018,18,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBSY 002 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,29,,,
AEXP-000012-2018,19,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBSY 003 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST303,ST-First Officers,NULL,NULL,NULL,30,,,
AEXP-000012-2018,20,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS LOW - OPS,CBSY 004 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST352,ST-Flight Attendants,NULL,NULL,NULL,31,,,
AEXP-000013-2018,1,01/02/2018,L018-NJSP,AUD,AS001591,VIVA ENERGY AVIATION PTY LTD,16-31/01/18 FUEL UPLIFTS,FUEL - FINANCE,NULL,FUEL ACCRUAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,32,,,
AEXP-000013-2018,2,01/02/2018,L018-NJSP,AUD,AS001591,VIVA ENERGY AVIATION PTY LTD,16-31/01/18 FUEL UPLIFTS,FUEL - FINANCE,NULL,FUEL ACCRUAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,,,
AEXP-000014-2018,1,01/02/2018,L017-NJEP,AUD,AS001263,"MANTRA ON MURRAY, PERTH",VAN GROOTEL FO 18.01.18,OVERHDS LOW - OPS,NULL,DIR OH ACCOM - BASER,AU-PER,Perth - Location,CA401,Regional,ST303,ST-First Officers,NULL,NULL,NULL,34,,,
AEXP-000015-2018,1,01/02/2018,L017-NJEP,AUD,AS001233,OAKS PLAZA PIER,HENDERSON 17.01.18,OVERHDS LOW - OPS,NULL,DIR TRAINING GEN,AU-ADL,Adelaide - Location,CA501,Santos,ST352,ST-Flight Attendants,NULL,NULL,NULL,35,,,
AEXP-000016-2018,1,01/02/2018,L017-NJEP,AUD,AS001263,"MANTRA ON MURRAY, PERTH",HOLGATE 16.01.18 NO SHOW,OVERHDS LOW - OPS,NULL,DIR OH ACCOM - BASER,AU-PER,Perth - Location,CA401,Regional,ST303,ST-First Officers,NULL,NULL,NULL,36,,,
AEXP-000017-2018,1,01/02/2018,L017-NJEP,AUD,AS001233,OAKS PLAZA PIER,COCOZZA 10/01 + LATE CHECKOUT,OVERHDS LOW - OPS,Accom Brisbane Qantas,DIR OH ACCOM - BASER,AU-BNE,Brisbane - Location,CA301,Qantas Freight,ST302,ST-Captains,NULL,NULL,NULL,37,,,
AEXP-000018-2018,1,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBBN-003 6/11 - 3/12/17,DIR OH TRAVEL - TAXI,AU-BNE,Brisbane - Location,CA201,Qantaslink 717,ST303,ST-First Officers,NULL,NULL,NULL,38,,,
AEXP-000018-2018,2,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBBN-004 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-BNE,Brisbane - Location,CA201,Qantaslink 717,ST352,ST-Flight Attendants,NULL,NULL,NULL,39,,,
AEXP-000018-2018,3,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBCB-002 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-CBR,Canberra - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,40,,,
AEXP-000018-2018,4,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBCB-003 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-CBR,Canberra - Location,CA201,Qantaslink 717,ST303,ST-First Officers,NULL,NULL,NULL,41,,,
AEXP-000018-2018,5,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBCB-004- 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-CBR,Canberra - Location,CA201,Qantaslink 717,ST352,ST-Flight Attendants,NULL,NULL,NULL,42,,,
AEXP-000018-2018,6,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBCS-002 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-CNS,Cairns - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,43,,,
AEXP-000018-2018,7,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBCS-003 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-CNS,Cairns - Location,CA201,Qantaslink 717,ST303,ST-First Officers,NULL,NULL,NULL,44,,,
AEXP-000018-2018,8,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBCS-004 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-CNS,Cairns - Location,CA201,Qantaslink 717,ST352,ST-Flight Attendants,NULL,NULL,NULL,45,,,
AEXP-000018-2018,9,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBDN-002 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-DRW,Darwin - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,46,,,
AEXP-000018-2018,10,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBDN-003 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-DRW,Darwin - Location,CA201,Qantaslink 717,ST303,ST-First Officers,NULL,NULL,NULL,47,,,
AEXP-000018-2018,11,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBDN 004 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-DRW,Darwin - Location,CA201,Qantaslink 717,ST352,ST-Flight Attendants,NULL,NULL,NULL,48,,,
AEXP-000018-2018,12,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBHB 002 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-HBA,Hobart - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,49,,,
AEXP-000018-2018,13,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBHB 003 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-HBA,Hobart - Location,CA201,Qantaslink 717,ST303,ST-First Officers,NULL,NULL,NULL,50,,,
AEXP-000018-2018,14,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBHB 004 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-HBA,Hobart - Location,CA201,Qantaslink 717,ST352,ST-Flight Attendants,NULL,NULL,NULL,51,,,
AEXP-000018-2018,15,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBPH 002 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-PER,Perth - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,52,,,
AEXP-000018-2018,16,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBPH 003 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-PER,Perth - Location,CA201,Qantaslink 717,ST303,ST-First Officers,NULL,NULL,NULL,53,,,
AEXP-000018-2018,17,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBPH 004 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-PER,Perth - Location,CA201,Qantaslink 717,ST352,ST-Flight Attendants,NULL,NULL,NULL,54,,,
AEXP-000018-2018,18,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBSY 002 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,55,,,
AEXP-000018-2018,19,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBSY 003 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST303,ST-First Officers,NULL,NULL,NULL,56,,,
AEXP-000018-2018,20,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBSY 004 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-SYD,Sydney - Location,CA201,Qantaslink 717,ST352,ST-Flight Attendants,NULL,NULL,NULL,57,,,
AEXP-000018-2018,21,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBAD-001 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-ADL,Adelaide - Location,CA201,Qantaslink 717,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,58,,,
AEXP-000018-2018,22,01/02/2018,L018-NJSP,AUD,AS000390,CABCHARGE AUSTRALIA LIMITED,NULL,OVERHDS HIGH-COMM,CBBN-002 6/11-3/12/17,DIR OH TRAVEL - TAXI,AU-BNE,Brisbane - Location,CA201,Qantaslink 717,ST302,ST-Captains,NULL,NULL,NULL,59,,,
AEXP-000019-2018,1,01/02/2018,L018-NJSP,AUD,AS000565,THE INFORMATION MANAGEMENT GROUP PTY LTD,NULL,OVERHDS LOW - COMM,STORAGE DEC 2017,PERMIT / FEES OTH,AU-ADL,Adelaide - Location,ZA003,Apportionment,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,60,,,
AEXP-000021-2018,1,01/02/2018,L018-NJSP,AUD,AS001762,WHERE-U-LEARN.COM,NULL,OVERHDS LOW - COMM,ROUTE BRIEFS,DIR TRAIN - ONGOING,AU-ADL,Adelaide - Location,CA201,Qantaslink 717,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,61,,,
AEXP-000022-2018,1,01/02/2018,L008-JSPL,AUD,AS001568,EASTMAN CHEMICAL AUSTRALIA P/L,NULL,DIRECTOPSSPEND -COMM,NULL,PO GRNI AT CUTOVER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,62,,,
AEXP-000023-2018,1,01/02/2018,L018-NJSP,AUD,AS000724,57 FILMS PTY LTD,NULL,OVERHEADS HIGH - CEO,CAVS TV 2017 YEAR IN REVIEW,ADVERT & MARKETING,AU-999,Australia Default Location,DA007,Sector - Management,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,63,,,
AEXP-000024-2018,1,02/02/2018,L017-NJEP,AUD,AS001052,MINARA RESOURCES,MMN BASE CONSUMABLES,OVERHDS HIGH-COMM,NULL,BASE SUPPLIES & CONS,AU-WUI,Murrin Murrin - Location,CA410,Minara,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,64,,,
AEXP-000025-2018,1,02/02/2018,L025-CSAR,AUD,AS000066,AIRFLITE PTY LTD,ATTN P BALDASSARI SPECIAL MISSIONS,OVERHDS HIGH-SPL MIS,Building rental,DIR RENT,AU-MEB,Essendon - Location,CA102,AMSA,FM999,FM-Default SAC,NULL,NULL,NULL,65,,,
AEXP-000026-2018,1,02/02/2018,L017-NJEP,AUD,AS001561,SHIRE OF ASHBURTON,NULL,DIRECTOPSSPEND -COMM,ONSLOW AIRPORT PASSENGER TAX,LANDING CHARGES,AU-PER,Perth - Location,CA412,Northern Star,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,66,,,
AEXP-000026-2018,2,02/02/2018,L017-NJEP,AUD,AS001561,SHIRE OF ASHBURTON,NULL,DIRECTOPSSPEND -COMM,ONSLOW AIRPORT CHARGES,LANDING CHARGES,AU-PER,Perth - Location,CA412,Northern Star,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,67,,,
AEXP-000027-2018,1,02/02/2018,L018-NJSP,AUD,AS000502,CALTEX AUSTRALIA PETROLEUM P/L,NULL,FUEL - FINANCE,NULL,FUEL ACCRUAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68,,,
AEXP-000028-2018,1,02/02/2018,L017-NJEP,AUD,AS000682,EMERGE ENGINEERING & MAINTENANCE,NULL,DIRECTOPSSPEND -TECH,"LABOUR, CONSUMABELS & WELDING",DIR REPAIRS & MAINT,AU-PER,Perth - Location,CA401,Regional,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,69,,,
AEXP-000029-2018,1,02/02/2018,L018-NJSP,AUD,AS001024,LEASED PORTABLE BUILDINGS NSW PL,NULL,DIRECTOPSSPEND -TECH,3X24 ABLUTION,DIR RENT,AU-SYD,Sydney - Location,ZA003,Apportionment,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,70,,,
AEXP-000030-2018,1,02/02/2018,L018-NJSP,AUD,AS001591,VIVA ENERGY AVIATION PTY LTD,16-31/01/2018 FUEL UPLIFTS,FUEL - FINANCE,NULL,FUEL ACCRUAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71,,,
AEXP-000030-2018,2,02/02/2018,L018-NJSP,AUD,AS001591,VIVA ENERGY AVIATION PTY LTD,16-31/01/2018 FUEL UPLIFTS,FUEL - FINANCE,NULL,FUEL ACCRUAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72,,,
AEXP-000031-2018,1,02/02/2018,L008-JSPL,AUD,AS001543,SKYCLEAN,NULL,OVERHDS HIGH -TECH,MAR18 RENT,DIR RENT,AU-BNE,Brisbane - Location,CA201,Qantaslink 717,FM999,FM-Default SAC,NULL,NULL,NULL,73,,,
AEXP-000031-2018,2,02/02/2018,L008-JSPL,AUD,AS001543,SKYCLEAN,NULL,OVERHDS HIGH -TECH,DEC17 ELECTRICITY BNE,DIR ELECTRICITY,AU-BNE,Brisbane - Location,CA201,Qantaslink 717,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,74,,,
AEXP-000032-2018,1,02/02/2018,L017-NJEP,EUR,AS002333,SIMTECH AVIATION TRAINING LTD,NULL,OVERHDS LOW - COMM,SIMULATOR TRAINING,DIR TRAIN (SIM) T&A,AU-PER,Perth - Location,CA401,Regional,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,75,,,
AEXP-000034-2018,1,02/02/2018,L018-NJSP,AUD,as000281,BP AUSTRALIA PTY LTD,15-31/01/18 SAPL BME FUEL UPLIFTS,FUEL - FINANCE,NULL,FUEL ACCRUAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,,,
AEXP-000035-2018,1,02/02/2018,L018-NJSP,AUD,AS000281,BP AUSTRALIA PTY LTD,15-31/01/18 REGIONAL MKR FUEL UPLIFTS,FUEL - FINANCE,NULL,FUEL ACCRUAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77,,,
AEXP-000036-2018,1,02/02/2018,L017-NJEP,AUD,AS002583,LEE HECHT HARRISON,NULL,DIRECTOPSSPEND -COMM,1 MONTH PROGRAM FOR JOHN GLYNN,DIR CONSULTANCY,AU-PER,Perth - Location,CA401,Regional,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,78,,,
AEXP-000037-2018,1,02/02/2018,L018-NJSP,AUD,AS000281,BP AUSTRALIA PTY LTD,21/01/18 REGIONAL XCH FUEL UPLIFT,FUEL - FINANCE,NULL,FUEL ACCRUAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79,,,
AEXP-000038-2018,1,02/02/2018,L018-NJSP,AUD,AS000281,BP AUSTRALIA PTY LTD,15-31/01/18 SAPL HID FUEL UPLIFTS,FUEL - FINANCE,NULL,FUEL ACCRUAL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80,,,
AEXP-000039-2018,1,02/02/2018,L018-NJSP,AUD,AS000398,DOUBLE TREE BY HILTON ALICE SPRINGS,NULL,OVERHDS LOW - OPS,NULL,DIR OH ACCOM - BASER,au-asp,Alice Springs - Location,CA201,Qantaslink 717,ZZ999,ZZ-Default SAC code,NULL,NULL,NULL,81,,,
